flight_id,airline,from_airport,to_airport,departure_time,arrival_time,duration_minutes,price,cabin,stops,available_seats
FL00056,Avianca,AUS,MCO,20:20,10:09,829,5628,Business,1,61
FL00057,ANA,EDI,CLT,07:20,13:48,388,1667,Business,0,35
FL00058,Shenzhen Airlines,BOS,VIE,22:15,00:05,110,264,Premium Economy,0,119
FL00059,Spirit Airlines,PUS,SYD,12:45,01:22,757,2016,Business,2,147
FL00060,Emirates,KTM,RDU,09:30,00:48,918,11687,First,2,137
FL00061,Hawaiian Airlines,BCN,PPT,15:00,22:23,443,607,Economy,1,103
FL00062,Air New Zealand,YVR,STL,17:00,00:28,448,4449,First,1,21
FL00063,Air Arabia,MSP,DEN,08:30,14:50,380,440,Economy,0,194
FL00064,Aegean Airlines,KTM,MAN,13:20,04:19,899,4642,First,0,138
FL00065,Hawaiian Airlines,BKK,SGN,20:00,09:37,817,1113,Premium Economy,0,214
FL00066,WestJet,AMS,IAD,21:05,07:27,622,1499,Economy,1,65
FL00067,EVA Air,DPS,YVR,23:55,02:37,162,548,Premium Economy,0,79
FL00068,SAS Scandinavian,JED,SIN,12:30,01:27,777,1412,Premium Economy,1,212
FL00069,SriLankan Airlines,OSL,RUH,21:45,12:14,869,2796,Business,2,200
FL00070,Vueling,ICN,KWI,11:05,20:28,563,1070,Economy,0,107
FL00071,Saudi Airlines,SUV,JED,20:35,09:24,769,4482,First,0,133
FL00072,Air Arabia,DUB,NAN,23:45,05:04,319,429,Economy,0,239
FL00073,Gulf Air,MAA,MAN,14:45,01:54,669,1295,Economy,0,126
FL00074,Ethiopian Airlines,MRU,GRU,08:25,13:56,331,760,Economy,1,70
FL00075,Japan Airlines,LHR,EZE,13:35,23:48,613,1280,Economy,1,165
FL00076,InterJet,SUV,IAH,09:15,16:54,459,907,Economy,0,148
FL00077,Vietnam Airlines,DPS,AUS,13:55,00:03,608,1324,Premium Economy,1,69
FL00078,Air Canada,CPT,HEL,06:25,09:12,167,344,Economy,1,176
FL00079,Frontier Airlines,GIG,SCL,08:55,19:43,648,5100,Business,1,72
FL00080,Iberia,AUH,SCL,05:20,06:19,59,118,Economy,0,11
FL00081,SriLankan Airlines,BKK,SVO,20:35,23:05,150,1881,First,0,120
FL00082,Czech Airlines,RDU,CLT,01:20,16:47,927,1494,Economy,2,102
FL00083,Cebu Pacific,SUV,AKL,01:10,04:27,197,686,Premium Economy,2,21
FL00084,Philippine Airlines,ARN,ATL,19:45,09:59,854,5059,Business,1,97
FL00085,TAP Air Portugal,MCO,PHX,13:20,23:47,627,3721,Business,1,189
FL00086,Aer Lingus,AUH,FCO,21:05,00:30,205,247,Economy,0,40
FL00087,Gulf Air,DXB,CTS,15:20,16:38,78,148,Premium Economy,0,179
FL00088,Middle East Airlines,TPA,AKL,08:50,19:38,648,1246,Economy,2,108
FL00089,Brussels Airlines,IST,LIS,08:10,10:08,118,106,Economy,0,152
FL00090,Qantas,STN,CLT,09:55,17:32,457,1097,Economy,0,126
FL00091,Bamboo Airways,CLT,BOM,13:55,20:10,375,684,Economy,0,58
FL00092,Cebu Pacific,AMS,ATH,05:35,15:11,576,1098,Economy,2,46
FL00093,Cathay Pacific,PHL,SUV,13:25,19:38,373,723,Economy,1,84
FL00094,Azul Airlines,GMP,PER,12:40,14:02,82,206,Premium Economy,0,82
FL00095,RyanAir,IST,KIX,00:50,16:25,935,5152,Business,1,48
FL00096,Aer Lingus,CEB,ADL,01:15,06:33,318,551,Economy,2,112
FL00097,Lufthansa,PPT,LAX,19:15,08:06,771,4532,First,1,141
FL00098,Hawaiian Airlines,CTS,HYD,03:35,06:20,165,1721,First,0,238
FL00099,Vistara,SVO,DUB,15:15,23:47,512,2844,Business,0,235
FL00100,Gol Airlines,DEN,BNE,13:25,03:36,851,4528,Business,2,72
FL00101,Austrian Airlines,NBO,SUV,15:25,21:50,385,669,Economy,0,116
FL00102,SriLankan Airlines,DAR,EZE,12:15,03:36,921,1951,Economy,0,190
FL00103,Shenzhen Airlines,AUS,KTM,20:10,05:22,552,7403,First,0,247
FL00104,Oman Air,TLV,AUH,14:00,03:04,784,819,Economy,2,248
FL00105,EgyptAir,IAD,DEL,08:25,19:48,683,4320,Business,1,218
FL00106,Norwegian Air,TLV,KTM,15:40,17:01,81,238,Premium Economy,0,175
FL00107,Croatia Airlines,STN,ZRH,03:50,16:35,765,1746,Economy,1,177
FL00108,Air France,NBO,HKG,01:20,08:12,412,592,Economy,0,135
FL00109,United Airlines,GMP,GRU,19:30,06:49,679,1331,Economy,1,149
FL00110,Air Arabia,SEA,VIE,14:20,02:27,727,948,Premium Economy,2,230
FL00111,ANA,STN,EWR,11:45,17:36,351,662,Economy,0,64
FL00112,Alaska Airlines,TPA,JNB,15:05,19:52,287,2282,First,0,75
FL00113,Condor,ADD,AMS,00:45,16:15,930,1828,Economy,1,12
FL00114,Air Baltic,ADL,STN,19:25,23:54,269,1619,Business,1,173
FL00115,Aer Lingus,SFO,DOH,09:35,10:54,79,225,Premium Economy,0,23
FL00116,Croatia Airlines,ADD,MRU,06:10,20:20,850,1459,Economy,2,135
FL00117,United Airlines,WLG,DUB,15:20,04:49,809,1844,Economy,2,119
FL00118,Aegean Airlines,DEL,SEA,21:55,10:10,735,9966,First,2,205
FL00119,InterJet,CGK,HYD,08:40,11:31,171,269,Economy,0,172
FL00120,Icelandair,BUD,KTM,03:50,08:34,284,2497,First,1,241
FL00121,Brussels Airlines,MRU,BCN,14:55,20:49,354,673,Economy,0,11
FL00122,Kenya Airways,HND,JNB,07:40,10:43,183,267,Economy,0,243
FL00123,Vistara,HNL,IAD,15:45,23:27,462,1771,Premium Economy,0,176
FL00124,Oman Air,DPS,MAD,07:25,09:51,146,360,Economy,0,230
FL00125,IndiGo,MNL,SYD,03:35,05:53,138,265,Economy,0,152
FL00126,Volaris,AMS,PVG,04:45,09:00,255,233,Economy,1,53
FL00127,LOT Polish,MAD,VIE,19:00,00:28,328,2371,Business,0,33
FL00128,Malaysia Airlines,HEL,MEX,00:10,01:10,60,134,Premium Economy,0,150
FL00129,American Airlines,DAR,FRA,04:55,12:51,476,806,Economy,1,121
FL00130,RyanAir,IAH,CEB,14:40,19:11,271,1043,Premium Economy,0,200
FL00131,Brussels Airlines,JNB,SAN,01:35,16:47,912,7436,First,1,125
FL00132,Japan Airlines,PHX,AKL,04:05,06:59,174,220,Economy,0,140
FL00133,Bamboo Airways,MRU,KTM,14:40,01:44,664,1625,Premium Economy,1,29
FL00134,Gulf Air,MAD,DTW,13:25,04:17,892,4483,Business,1,24
FL00135,Norwegian Air,LOS,MSP,11:10,23:38,748,2835,Premium Economy,0,212
FL00136,Saudi Airlines,BLR,HYD,23:25,14:01,876,894,Economy,0,244
FL00137,SpiceJet,TLV,LAX,21:30,13:03,933,2199,Economy,0,73
FL00138,Thai Airways,CMN,HAN,06:10,18:07,717,1857,Premium Economy,2,89
FL00139,Olympic Air,DPS,IST,07:30,22:40,910,1595,Economy,1,159
FL00140,Lufthansa,SIN,ATH,22:20,04:52,392,547,Economy,0,36
FL00141,Swiss International,XIY,BNE,00:05,13:34,809,4403,Business,0,116
FL00142,Air China,BAH,EWR,10:45,21:40,655,618,Economy,0,40
FL00143,Copa Airlines,PVG,BOM,13:35,00:41,666,1033,Economy,0,193
FL00144,Saudi Airlines,IST,KWI,21:50,08:42,652,1060,Economy,1,11
FL00145,Bamboo Airways,BCN,CTU,06:20,10:41,261,549,Economy,1,74
FL00146,Emirates,MRU,ATL,13:10,16:07,177,256,Economy,0,128
FL00147,IndiGo,HAN,AKL,01:30,02:34,64,323,Business,0,80
FL00148,Fiji Airways,MSP,KIX,09:05,16:44,459,612,Premium Economy,0,205
FL00149,Cathay Pacific,SAN,CEB,03:15,11:26,491,884,Economy,1,101
FL00150,Hawaiian Airlines,CMN,MCT,05:05,14:32,567,1063,Economy,1,49
FL00151,WestJet,SGN,MIA,08:15,11:57,222,404,Economy,1,167
FL00152,Air Malta,DEL,CUN,14:45,04:28,823,2350,Premium Economy,1,225
FL00153,Austrian Airlines,DAR,LOS,15:35,03:06,691,908,Economy,0,14
FL00154,ANA,HAN,CHC,14:00,15:43,103,146,Economy,0,165
FL00155,Shenzhen Airlines,HYD,CHC,17:55,19:22,87,136,Economy,0,166
FL00156,EVA Air,EZE,DAR,04:00,12:26,506,493,Economy,2,87
FL00157,Brussels Airlines,BLR,CHC,07:55,16:08,493,1224,Economy,1,156
FL00158,Air China,EWR,CGK,12:30,02:28,838,6336,First,1,202
FL00159,LOT Polish,AMM,MEL,21:30,03:05,335,411,Economy,1,246
FL00160,Japan Airlines,BOS,AMM,04:25,10:27,362,1416,Premium Economy,1,100
FL00161,SAS Scandinavian,DFW,BLR,20:25,11:02,877,1427,Premium Economy,1,242
FL00162,RyanAir,HYD,ANC,11:20,15:09,229,553,Economy,0,196
FL00163,Hawaiian Airlines,PPT,SCL,04:05,09:52,347,4262,First,0,197
FL00164,Air Malta,HND,MCT,19:30,22:52,202,347,Premium Economy,1,197
FL00165,Air France,YVR,CLT,21:55,02:43,288,705,Economy,1,192
FL00166,Vueling,IAH,VIE,15:15,22:16,421,822,Economy,0,112
FL00167,Air Baltic,PDX,LGW,16:30,20:00,210,459,Economy,1,35
FL00168,Brussels Airlines,HEL,BKK,11:40,14:10,150,301,Economy,0,31
FL00169,Olympic Air,LGW,BLR,14:40,17:55,195,431,Economy,0,233
FL00170,Aeroflot,BCN,MCO,13:00,20:30,450,4092,First,0,20
FL00171,Lufthansa,CMB,LIS,03:55,15:45,710,972,Economy,0,9
FL00172,SriLankan Airlines,STN,BNA,22:35,06:59,504,2976,Business,2,4
FL00173,Austrian Airlines,WAW,MAD,23:45,09:30,585,1420,Premium Economy,1,60
FL00174,KLM,JNB,LAX,20:45,05:18,513,465,Economy,2,127
FL00175,Air Mauritius,FRA,CPH,13:00,00:14,674,943,Economy,1,47
FL00176,Etihad Airways,BLR,CEB,17:40,07:50,850,11594,First,1,99
FL00177,Icelandair,BNA,PEK,11:20,00:50,810,670,Economy,1,88
FL00178,Air Malta,CPH,RUH,10:10,11:40,90,200,Premium Economy,0,164
FL00179,SriLankan Airlines,MEX,PDX,05:10,06:59,109,219,Economy,1,9
FL00180,Air France,ADD,LIM,01:25,07:27,362,1939,Business,2,139
FL00181,British Airways,AUS,HEL,06:20,13:10,410,2969,Business,0,167
FL00182,Qantas,TLV,DUB,13:30,02:56,806,3990,Business,2,86
FL00183,Jazeera Airways,GIG,ADL,16:20,06:45,865,813,Economy,1,110
FL00184,Finnair,GRU,ADD,10:50,16:37,347,458,Economy,1,109
FL00185,Aeroflot,YVR,PHX,23:25,10:39,674,1682,Economy,0,250
FL00186,El Al,KUL,DEL,11:40,02:05,865,2870,Premium Economy,0,7
FL00187,British Airways,SEA,CLT,07:50,14:50,420,594,Economy,2,8
FL00188,Air China,IAD,MCO,02:45,05:50,185,314,Economy,0,166
FL00189,Malaysia Airlines,MAN,ARN,05:35,15:10,575,838,Economy,1,67
FL00190,Frontier Airlines,PRG,IAH,09:55,19:02,547,3426,First,0,18
FL00191,Air Mauritius,MCO,MEX,02:50,18:00,910,2254,Economy,1,181
FL00192,TAP Air Portugal,MEL,SVO,22:55,11:37,762,4592,Business,1,130
FL00193,Alaska Airlines,LIS,LAX,07:35,08:46,71,320,Business,0,119
FL00194,Etihad Airways,DFW,MAA,22:55,07:50,535,906,Economy,1,210
FL00195,Norwegian Air,AKL,ORD,14:35,02:56,741,1990,Premium Economy,0,212
FL00196,Saudi Airlines,GRU,DFW,01:05,10:40,575,974,Premium Economy,0,82
FL00197,easyJet,LIS,KWI,02:20,06:26,246,1478,Business,0,32
FL00198,South African Airways,JNB,HYD,18:45,22:07,202,352,Premium Economy,1,230
FL00199,Lufthansa,MCT,ICN,20:45,02:01,316,602,Economy,1,106
FL00200,Aer Lingus,HKG,ADL,20:20,05:19,539,1048,Premium Economy,2,103
FL00201,ANA,NBO,TPA,05:35,13:25,470,1219,Premium Economy,0,155
FL00202,Air Mauritius,SEA,LOS,11:30,14:28,178,372,Economy,0,27
FL00203,Air Arabia,ACC,CPH,14:15,17:24,189,182,Economy,0,98
FL00204,Delta Air Lines,HNL,ARN,18:55,01:00,365,1308,Business,0,131
FL00205,SAS Scandinavian,STL,ADL,02:30,11:52,562,886,Economy,0,149
FL00206,KLM,HAN,PVG,19:50,08:03,733,1172,Economy,1,216
FL00207,Virgin Atlantic,JED,DTW,23:25,13:12,827,3929,Business,0,13
FL00208,Vietnam Airlines,SCL,CEB,12:40,21:06,506,1062,Economy,0,159
FL00209,Korean Air,ATL,ORD,10:40,17:39,419,872,Economy,0,130
FL00210,Air France,XIY,WLG,04:55,11:21,386,836,Economy,0,38
FL00211,China Airlines,SFO,MRU,12:45,02:07,802,1790,Economy,1,129
FL00212,EgyptAir,SUV,NBO,11:25,23:39,734,2313,Business,1,78
FL00213,Avianca,SIN,AUS,18:45,23:23,278,3096,First,0,43
FL00214,Middle East Airlines,KTM,MIA,18:55,21:32,157,176,Economy,0,107
FL00215,Jazeera Airways,BOS,GMP,16:45,01:32,527,1203,Economy,1,15
FL00216,Philippine Airlines,SFO,FCO,21:35,07:18,583,839,Economy,2,117
FL00217,Royal Jordanian,BAH,HAN,23:50,11:33,703,4870,Business,0,123
FL00218,Gol Airlines,SCL,ARN,07:20,21:14,834,1721,Premium Economy,0,180
FL00219,Royal Air Maroc,SUV,ACC,23:20,04:59,339,341,Economy,1,97
FL00220,Air Malta,CTU,KWI,09:00,14:39,339,2627,Business,0,236
FL00221,Croatia Airlines,PHX,WAW,06:40,12:02,322,768,Economy,1,35
FL00222,Aeromexico,JED,CPH,16:15,03:53,698,834,Economy,0,84
FL00223,Middle East Airlines,BNA,AUH,00:40,04:06,206,982,Business,2,224
FL00224,Eurowings,AUS,RDU,09:25,15:02,337,639,Economy,2,22
FL00225,American Airlines,VIE,HND,05:00,20:01,901,1328,Economy,1,239
FL00226,Qatar Airways,SVO,HND,19:05,01:33,388,498,Economy,2,139
FL00227,South African Airways,PER,DEN,06:05,12:28,383,412,Economy,0,65
FL00228,Air Serbia,GIG,CDG,09:45,22:00,735,1534,Economy,0,219
FL00229,RyanAir,KIX,MSP,12:50,15:12,142,158,Economy,0,82
FL00230,Avianca,ARN,JFK,14:20,20:42,382,501,Economy,1,2
FL00231,Jazeera Airways,PRG,CEB,21:05,05:46,521,688,Economy,1,128
FL00232,Icelandair,CMN,ATL,09:25,20:39,674,4356,First,2,122
FL00233,Croatia Airlines,IAD,TPA,11:30,00:13,763,7271,First,1,137
FL00234,Middle East Airlines,MAD,ARN,02:40,11:02,502,2726,Business,0,234
FL00235,Vietnam Airlines,CAI,SYD,06:45,16:39,594,3443,First,0,133
FL00236,Middle East Airlines,PHX,IST,18:35,20:53,138,321,Economy,0,14
FL00237,RyanAir,TPA,DFW,18:00,04:17,617,978,Economy,2,185
FL00238,LATAM Airlines,AMS,CTU,23:15,09:52,637,1881,Business,1,179
FL00239,Etihad Airways,MEL,SYD,15:00,20:38,338,2777,First,1,196
FL00240,Hainan Airlines,HNL,CMB,12:30,14:37,127,249,Economy,0,138
FL00241,Qantas,DEN,SGN,17:30,03:16,586,595,Economy,2,213
FL00242,TAP Air Portugal,DXB,AMS,23:40,07:39,479,816,Economy,1,63
FL00243,Austrian Airlines,SAN,KWI,23:05,00:22,77,167,Economy,0,196
FL00244,Spirit Airlines,FRA,CPH,19:00,03:22,502,911,Economy,1,12
FL00245,Air India,OSL,PEK,17:15,06:52,817,1853,Economy,0,128
FL00246,Wingo,SVO,VIE,18:25,05:01,636,6352,First,1,82
FL00247,Swiss International,MUC,JNB,16:15,00:03,468,3371,First,0,242
FL00248,Philippine Airlines,MEX,MSP,11:50,00:02,732,1059,Economy,1,178
FL00249,Austrian Airlines,PUS,CTS,05:40,14:29,529,639,Economy,0,219
FL00250,Turkish Airlines,SEA,PDX,13:40,23:27,587,964,Premium Economy,0,52
FL00251,Gulf Air,TLV,BOM,02:40,15:46,786,5558,Business,0,96
FL00252,JetBlue Airways,ICN,AKL,18:55,07:07,732,4099,Business,1,222
FL00253,Qatar Airways,AMM,JNB,06:55,09:40,165,341,Economy,0,234
FL00254,IndiGo,OSL,PTY,17:25,07:24,839,5907,First,1,166
FL00255,Avianca,MNL,CPT,15:35,18:00,145,313,Economy,0,194
FL00256,Air China,ACC,PTY,01:45,17:14,929,1092,Economy,0,66
FL00257,Austrian Airlines,PUS,ADD,07:30,17:58,628,1392,Economy,1,167
FL00258,Olympic Air,MCT,WAW,23:50,13:12,802,4192,Business,0,203
FL00259,Virgin Atlantic,HAN,YUL,15:10,07:05,955,5260,Business,1,15
FL00260,Wingo,NRT,DEL,00:30,03:35,185,659,Premium Economy,0,181
FL00261,Frontier Airlines,BOS,LHR,11:00,22:17,677,2040,Premium Economy,2,233
FL00262,Singapore Airlines,NAN,PPT,17:30,18:27,57,50,Economy,0,137
FL00263,South African Airways,STN,FRA,21:30,12:00,870,6672,Business,0,235
FL00264,WestJet,DOH,BOS,16:20,06:59,879,1232,Economy,1,20
FL00265,flydubai,CMB,KIX,22:15,04:07,352,1104,Premium Economy,1,167
FL00266,Air India,NRT,HYD,17:35,19:17,102,192,Economy,0,21
FL00267,Brussels Airlines,ADL,PHL,18:05,03:50,585,4422,Business,0,230
FL00268,Air France,AUS,DUB,21:20,07:21,601,5808,First,0,237
FL00269,Spirit Airlines,LOS,FRA,22:30,00:33,123,256,Premium Economy,0,145
FL00270,Shenzhen Airlines,CAN,TLV,04:55,18:01,786,2345,Business,1,88
FL00271,Saudi Airlines,BKK,AUH,02:25,13:29,664,1399,Economy,2,101
FL00272,Icelandair,MRU,HKG,14:35,19:13,278,390,Economy,2,110
FL00273,Japan Airlines,GIG,KTM,09:15,22:10,775,2291,Business,0,97
FL00274,Norwegian Air,IAD,CAN,02:00,08:00,360,560,Economy,1,26
FL00275,Southwest Airlines,DFW,MAA,17:40,03:09,569,849,Economy,0,90
FL00276,Shenzhen Airlines,HYD,MRU,13:30,03:32,842,794,Economy,2,231
FL00277,Middle East Airlines,OSL,YUL,04:20,10:13,353,443,Economy,0,42
FL00278,Vistara,PHL,EDI,02:25,07:27,302,726,Economy,1,126
FL00279,Thai Airways,BOG,SAN,00:30,06:55,385,858,Economy,0,220
FL00280,LOT Polish,TLV,CLT,20:45,23:49,184,241,Economy,1,177
FL00281,Norwegian Air,LIM,RDU,12:25,18:08,343,702,Economy,1,247
FL00282,Hainan Airlines,OSL,MRU,12:25,15:06,161,383,Economy,0,139
FL00283,TAROM,GRU,SIN,22:15,06:28,493,1062,Economy,2,17
FL00284,Virgin Atlantic,CTS,ADL,07:20,19:19,719,1220,Premium Economy,1,96
FL00285,Bamboo Airways,AKL,IAH,12:40,22:03,563,1334,Economy,2,107
FL00286,SriLankan Airlines,HND,CEB,17:45,05:23,698,5257,Business,0,63
FL00287,Brussels Airlines,HAN,YVR,18:50,07:08,738,2241,Premium Economy,2,84
FL00288,Qatar Airways,DTW,JED,07:40,21:09,809,1360,Economy,1,147
FL00289,Air China,BCN,IAH,21:45,10:17,752,1241,Economy,0,6
FL00290,Iberia,NAN,RUH,02:05,17:01,896,2149,Economy,0,79
FL00291,Volaris,BAH,TPA,15:25,00:17,532,513,Economy,1,115
FL00292,TAP Air Portugal,ACC,BNE,22:05,23:13,68,152,Economy,0,173
FL00293,easyJet,YVR,OSL,05:25,15:43,618,942,Economy,1,204
FL00294,Southwest Airlines,KIX,GIG,13:30,14:44,74,241,Premium Economy,1,115
FL00295,Emirates,MSP,CAN,06:20,19:55,815,5206,Business,1,147
FL00296,China Eastern,RUH,GIG,14:05,19:18,313,607,Economy,0,247
FL00297,China Airlines,LOS,CAN,03:25,10:10,405,906,Economy,1,208
FL00298,Royal Jordanian,NBO,BLR,03:15,09:12,357,356,Economy,0,36
FL00299,Bamboo Airways,CAN,HNL,12:30,16:25,235,382,Economy,0,235
FL00300,Ethiopian Airlines,MEX,YVR,05:25,20:32,907,1420,Economy,0,91
FL00301,Virgin Atlantic,LHR,PPT,12:40,22:02,562,1073,Economy,1,125
FL00302,Ethiopian Airlines,PUS,PHX,18:00,08:19,859,1798,Economy,0,70
FL00303,United Airlines,LIS,STN,18:55,08:51,836,5622,Business,1,28
FL00304,Air Baltic,IST,ATH,11:40,02:27,887,2960,Premium Economy,1,112
FL00305,Thai Airways,MAD,ANC,20:15,02:04,349,2553,Business,0,67
FL00306,Oman Air,SGN,MAA,03:15,07:34,259,1804,Business,0,89
FL00307,China Airlines,MSP,YVR,06:15,20:44,869,782,Economy,0,71
FL00308,Fiji Airways,YUL,DAR,18:20,09:43,923,1545,Economy,2,208
FL00309,Aegean Airlines,DOH,DEN,01:20,16:52,932,5708,Business,1,33
FL00310,Air Mauritius,ARN,MIA,07:50,15:17,447,729,Economy,0,68
FL00311,Gulf Air,PUS,DAC,02:30,12:02,572,1186,Economy,1,224
FL00312,Ethiopian Airlines,DPS,TPA,00:55,03:15,140,285,Economy,0,170
FL00313,InterJet,MNL,MEL,06:30,21:19,889,1649,Premium Economy,0,212
FL00314,Vietnam Airlines,LGW,MCT,18:35,08:47,852,1886,Premium Economy,1,12
FL00315,Aer Lingus,PEK,AUH,14:00,16:52,172,1308,Business,0,116
FL00316,Alaska Airlines,DXB,MSP,04:50,10:44,354,2079,First,2,70
FL00317,LATAM Airlines,HYD,CEB,21:50,01:24,214,190,Economy,1,185
FL00318,Eurowings,VIE,MSP,03:00,07:23,263,423,Economy,0,57
FL00319,Qatar Airways,PHX,LHR,03:30,16:05,755,1236,Premium Economy,0,98
FL00320,Thai Airways,MAA,RUH,09:10,16:26,436,922,Economy,1,34
FL00321,Wizz Air,SEA,BNE,19:50,23:23,213,526,Premium Economy,1,160
FL00322,China Airlines,BOS,GMP,06:05,08:32,147,243,Premium Economy,0,186
FL00323,GoFirst,TPE,SGN,04:15,09:43,328,621,Economy,0,153
FL00324,Condor,LGW,SIN,06:40,17:46,666,3548,Business,1,75
FL00325,Kenya Airways,BKK,CPH,07:35,19:13,698,1263,Economy,1,250
FL00326,Norwegian Air,CDG,CEB,18:30,01:29,419,724,Economy,0,120
FL00327,Lion Air,AKL,FRA,08:15,09:40,85,201,Economy,1,101
FL00328,Aer Lingus,CHC,STN,13:30,02:13,763,3622,Business,1,137
FL00329,Japan Airlines,IAD,MAN,16:15,06:47,872,927,Economy,0,150
FL00330,SriLankan Airlines,MEL,CMN,07:00,11:55,295,279,Economy,0,116
FL00331,El Al,KUL,CMN,23:10,01:57,167,438,Business,0,2
FL00332,Aeroflot,YYZ,ADL,23:20,02:55,215,491,Premium Economy,1,223
FL00333,Air Malta,ATH,ATL,10:30,15:53,323,1747,Business,0,249
FL00334,flydubai,DEL,ADL,01:35,16:59,924,2606,Premium Economy,0,65
FL00335,Air Canada,RUH,IST,00:00,15:24,924,6700,Business,0,120
FL00336,Austrian Airlines,CGK,TPE,01:40,16:07,867,2040,Economy,1,107
FL00337,Aeromexico,LIS,DAR,23:25,04:47,322,709,Economy,0,30
FL00338,American Airlines,WLG,BKK,16:00,23:35,455,417,Economy,0,72
FL00339,Cathay Pacific,CMN,MRU,00:25,04:35,250,516,Premium Economy,1,189
